response,response_label,model_name,term,estimate,std_error,statistic,p_value,best_model,best_model_has_dispersion
D2_MASS,Day-2 body mass,student_scale,(Intercept),-0.760385112286839,0.07500527667379599,-10.137754915481684,3.756331898667305e-24,student_mean,FALSE
D2_MASS,Day-2 body mass,student_scale,EXP.INCHeated,-0.058191600635964846,0.06378695951488564,-0.9122805206350205,0.36162106587675574,student_mean,FALSE
D2_MASS,Day-2 body mass,gaussian_scale,(Intercept),-0.5986050175698354,0.038535285686024205,-15.53394523780408,2.0440775700726676e-54,student_mean,FALSE
D2_MASS,Day-2 body mass,gaussian_scale,EXP.INCHeated,-0.05606811855893084,0.05341717199858091,-1.0496272352347735,0.2938895302166933,student_mean,FALSE
D8_MASS,Day-8 body mass,student_scale,(Intercept),-0.3194318031734126,0.07436377791445456,-4.295529518966553,1.7427684406564765e-5,student_scale,TRUE
D8_MASS,Day-8 body mass,student_scale,EXP.INCHeated,0.05791872746041123,0.0781795634282625,0.7408422984295302,0.4587890650033968,student_scale,TRUE
D8_MASS,Day-8 body mass,student_scale,EXP.NESTHeated,-0.11164669863623145,0.07890146440736184,-1.4150142772991972,0.15706430998709012,student_scale,TRUE
D8_MASS,Day-8 body mass,gaussian_scale,(Intercept),0.08846445023339437,0.05065695319787619,1.7463436833209163,0.08075124949681117,student_scale,TRUE
D8_MASS,Day-8 body mass,gaussian_scale,EXP.INCHeated,0.06000798988100446,0.05655820576413957,1.060995289193778,0.28869204203578996,student_scale,TRUE
D8_MASS,Day-8 body mass,gaussian_scale,EXP.NESTHeated,-0.07202152642699576,0.05692802504590562,-1.2651330582594258,0.2058236341813349,student_scale,TRUE
D12_MASS,Day-12 body mass,gaussian_scale,(Intercept),-0.15469552785975274,0.052876892324469994,-2.9255790395261907,0.0034381582489483517,gaussian_mean,FALSE
D12_MASS,Day-12 body mass,gaussian_scale,EXP.INCHeated,-1.1349325956938093e-5,0.060808533705688485,-1.8664034906463125e-4,0.9998510825479231,gaussian_mean,FALSE
D12_MASS,Day-12 body mass,gaussian_scale,EXP.NESTHeated,-0.019122985056246055,0.06082866433924204,-0.3143745677136191,0.7532365697282881,gaussian_mean,FALSE
Early.g,Early growth,gaussian_scale,(Intercept),-2.084743139548462,0.052575720986874644,-39.65220258356346,0,gaussian_scale,TRUE
Early.g,Early growth,gaussian_scale,EXP.INCHeated,0.11477663165429561,0.05744776927868335,1.9979301737114583,0.04572423083308559,gaussian_scale,TRUE
Early.g,Early growth,gaussian_scale,EXP.NESTHeated,-0.06863946684586916,0.057560383129000914,-1.1924775881362442,0.2330740334500428,gaussian_scale,TRUE
Late.g,Late growth,gaussian_scale,(Intercept),-1.4152121477748048,0.05169188772647174,-27.377838380819387,5.036282447434812e-165,gaussian_scale,TRUE
Late.g,Late growth,gaussian_scale,EXP.INCHeated,-0.14090667434979026,0.0612428952827756,-2.300784012564799,0.021403842564275362,gaussian_scale,TRUE
Late.g,Late growth,gaussian_scale,EXP.NESTHeated,-0.19791677392324797,0.06157256426233548,-3.214366273264268,0.0013073279380583266,gaussian_scale,TRUE
Growth,Whole-period growth,student_scale,(Intercept),-2.5798725024364906,0.07364439204545557,-35.03148618355237,7.463511991692696e-269,student_mean,FALSE
Growth,Whole-period growth,student_scale,EXP.INCHeated,-0.05151447280362855,0.07382576846069057,-0.6977844440733192,0.48531200890314924,student_mean,FALSE
Growth,Whole-period growth,student_scale,EXP.NESTHeated,-0.11877549825709166,0.07391797001421235,-1.60685552152277,0.10808606538496103,student_mean,FALSE
Growth,Whole-period growth,gaussian_scale,(Intercept),-2.3595827177117825,0.05304978929953228,-44.478644474702676,0,student_mean,FALSE
Growth,Whole-period growth,gaussian_scale,EXP.INCHeated,-0.11264450371562529,0.0624603228895904,-1.8034569548214512,0.07131647982429576,student_mean,FALSE
Growth,Whole-period growth,gaussian_scale,EXP.NESTHeated,-0.11028061211225494,0.06255539171186363,-1.7629273687585307,0.07791274036735127,student_mean,FALSE
D12_SMI,Day-12 scaled mass index,student_scale,(Intercept),-0.03771897694309818,0.0772382769453562,-0.4883456549630598,0.6253050283906683,student_mean,FALSE
D12_SMI,Day-12 scaled mass index,student_scale,EXP.INCHeated,-4.71778370301623e-4,0.06736422017347213,-0.007003396893584292,0.9944121434239342,student_mean,FALSE
D12_SMI,Day-12 scaled mass index,student_scale,EXP.NESTHeated,-0.05669046878998069,0.06749732340924207,-0.8398921012950619,0.4009688867307102,student_mean,FALSE
D12_SMI,Day-12 scaled mass index,gaussian_scale,(Intercept),0.05543266951338719,0.05306586510812037,1.0446012592170977,0.29620729738073637,student_mean,FALSE
D12_SMI,Day-12 scaled mass index,gaussian_scale,EXP.INCHeated,-0.003348272783513708,0.06127632641150767,-0.05464219184792553,0.9564235247168178,student_mean,FALSE
D12_SMI,Day-12 scaled mass index,gaussian_scale,EXP.NESTHeated,-0.06761352380295761,0.061164695771623895,-1.1054338282889902,0.2689716524213209,student_mean,FALSE
D12_RTARS,Day-12 tarsus length,student_scale,(Intercept),-1.1313390689093492,0.07678494415023338,-14.733865882559357,3.907012692134719e-49,student_mean,FALSE
D12_RTARS,Day-12 tarsus length,student_scale,EXP.INCHeated,0.0311793127590833,0.07427633153921005,0.419774538038728,0.674650167170769,student_mean,FALSE
D12_RTARS,Day-12 tarsus length,student_scale,EXP.NESTHeated,0.09975524183410035,0.0746048116723814,1.3371153897172776,0.18118497443626386,student_mean,FALSE
D12_RTARS,Day-12 tarsus length,gaussian_scale,(Intercept),-0.9527121789494046,0.05305615767219094,-17.956674978911312,4.2554803113597587e-72,student_mean,FALSE
D12_RTARS,Day-12 tarsus length,gaussian_scale,EXP.INCHeated,0.06856449621787578,0.06137741718232991,1.117096472375103,0.26395307865907464,student_mean,FALSE
D12_RTARS,Day-12 tarsus length,gaussian_scale,EXP.NESTHeated,0.13363396989868165,0.06135746838486354,2.177957686592692,0.02940918711256482,student_mean,FALSE
